UH#,GLOSS#,Version,Location,Country,Latitude,Longitude,Start,End,Data,CSV,NetCDF,OldNetCDF,Meta
1,115,a,Pohnpei,Micronesia (Federated States of),6.978,158.197,5/9/1969,2/27/1971,daily hourly,daily hourly,daily hourly,daily hourly,meta
1,115,b,Pohnpei,Micronesia (Federated States of),6.978,158.197,4/22/1974,12/31/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
1,115,c,Pohnpei,Micronesia (Federated States of),6.978,158.197,12/17/2001,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
2,113,a,"Tarawa, Bairiki",Kiribati,1.332,173.013,5/4/1974,12/30/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
2,113,b,"Tarawa, Bairiki",Kiribati,1.332,173.013,5/18/1983,5/9/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
2,113,c,"Tarawa, Bairiki",Kiribati,1.332,173.013,1/21/1988,12/31/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
2,113,d,"Tarawa, Bairiki",Kiribati,1.332,173.013,12/4/1992,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
3,169,a,Baltra,Ecuador,-0.437,-90.285,6/2/1968,12/25/1977,daily hourly,daily hourly,daily hourly,daily hourly,meta
3,169,b,Baltra,Ecuador,-0.437,-90.285,3/26/1985,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
4,114,a,Nauru,Nauru,-0.528,166.905,5/7/1974,1/4/1995,daily hourly,daily hourly,daily hourly,daily hourly,meta
4,114,b,Nauru,Nauru,-0.528,166.905,7/8/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
5,112,a,Majuro,Marshall Islands (the),7.108,171.372,10/7/1968,12/31/1999,daily hourly,daily hourly,daily hourly,daily hourly,meta
5,112,b,Majuro,Marshall Islands (the),7.108,171.372,5/14/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
6,,a,Enewetok,Marshall Islands (the),11.43,162.387,4/24/1951,12/30/1971,daily hourly,daily hourly,daily hourly,daily hourly,meta
6,,b,Enewetok,Marshall Islands (the),11.43,162.387,8/6/1974,8/7/1979,daily hourly,daily hourly,daily hourly,daily hourly,meta
7,120,a,Malakal,Palau,7.33,134.463,1/1/1926,12/9/1939,daily hourly,daily hourly,daily hourly,daily hourly,meta
7,120,b,Malakal,Palau,7.33,134.463,5/19/1969,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
8,119,a,Yap,Micronesia (Federated States of),9.517,138.133,3/1/1951,12/30/1952,daily hourly,daily hourly,daily hourly,daily hourly,meta
8,119,b,Yap,Micronesia (Federated States of),9.517,138.133,5/11/1969,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
9,66,a,Honiara,Solomon Islands,-9.422,159.955,11/21/1974,1/4/1995,daily hourly,daily hourly,daily hourly,daily hourly,meta
9,66,b,Honiara,Solomon Islands,-9.422,159.955,7/28/1994,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
10,65,a,Rabaul,Papua New Guinea,-4.2,152.175,4/6/1966,12/31/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
11,146,a,Christmas,Kiribati,1.985,-157.477,12/2/1955,3/31/1972,daily hourly,daily hourly,daily hourly,daily hourly,meta
11,146,b,Christmas,Kiribati,1.985,-157.477,2/7/1974,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
12,,a,Fanning,Kiribati,3.907,-159.387,8/11/1957,11/8/1958,daily hourly,daily hourly,daily hourly,daily hourly,meta
12,,b,Fanning,Kiribati,3.907,-159.387,12/13/1972,8/19/1987,daily hourly,daily hourly,daily hourly,daily hourly,meta
12,,c,Fanning,Kiribati,3.907,-159.387,10/4/1988,12/31/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
13,145,a,Kanton,Kiribati,-2.81,-171.718,5/29/1949,9/14/1967,daily hourly,daily hourly,daily hourly,daily hourly,meta
13,145,b,Kanton,Kiribati,-2.81,-171.718,5/2/1972,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
14,107,a,French Frigate,United States of America (the),23.868,-166.288,7/4/1974,3/5/2007,daily hourly,daily hourly,daily hourly,daily hourly,meta
14,107,b,French Frigate,United States of America (the),23.868,-166.288,5/27/2007,10/3/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
15,140,a,Papeete,France,-17.532,-149.567,5/2/1969,5/30/1975,daily hourly,daily hourly,daily hourly,daily hourly,meta
15,140,b,Papeete,France,-17.532,-149.567,6/9/1975,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
16,138,a,Rikitea,France,-23.125,-134.953,10/6/1969,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
17,,a,Hiva Oa,France,-9.81,-139.027,10/29/1977,10/1/1980,daily hourly,daily hourly,daily hourly,daily hourly,meta
17,,b,Hiva Oa,France,-9.81,-139.027,9/5/2010,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
18,122,a,Suva,Fiji,-18.132,178.427,10/1/1972,11/8/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
18,122,b,Suva,Fiji,-18.132,178.427,1/27/1998,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
19,123,a,Noumea,France,-22.242,166.417,2/25/1967,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
21,176,a,Juan Fernandez,Chile,-33.622,-78.833,1/27/1977,5/2/1984,daily hourly,daily hourly,daily hourly,daily hourly,meta
21,176,b,Juan Fernandez,Chile,-33.622,-78.833,9/5/1985,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
22,137,a,Easter,Chile,-27.15,-109.448,1/17/1957,12/31/1958,daily hourly,daily hourly,daily hourly,daily hourly,meta
22,137,b,Easter,Chile,-27.15,-109.448,1/28/1962,4/17/1963,daily hourly,daily hourly,daily hourly,daily hourly,meta
22,137,c,Easter,Chile,-27.15,-109.448,4/3/1970,12/26/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
23,139,a,Rarotonga,Cook Islands (the),-21.207,-159.775,4/25/1977,12/8/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
23,139,b,Rarotonga,Cook Islands (the),-21.207,-159.775,2/20/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
24,143,a,Penrhyn,Cook Islands (the),-8.977,-158.053,4/17/1977,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
25,121,a,Funafuti,Tuvalu,-8.525,179.195,10/18/1977,12/31/1999,daily hourly,daily hourly,daily hourly,daily hourly,meta
25,121,b,Funafuti,Tuvalu,-8.525,179.195,3/24/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
26,108,a,"Honolulu, Kewalo",United States of America (the),21.295,-157.862,1/25/1978,2/17/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
27,108,a,"Honolulu, Pier 45",United States of America (the),21.318,-157.885,10/26/1985,12/31/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
28,118,a,Saipan,United States of America (the),15.227,145.742,3/3/1938,3/19/1940,daily hourly,daily hourly,daily hourly,daily hourly,meta
28,118,b,Saipan,United States of America (the),15.227,145.742,9/19/1978,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
29,117,a,Kapingamarangi,Micronesia (Federated States of),1.098,154.777,9/9/1978,12/4/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
30,,a,Santa Cruz,Ecuador,-0.755,-90.313,10/20/1978,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
31,142,a,Nuku Hiva,France,-8.93,-140.082,4/1/1982,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
33,69,a,Bitung,Indonesia,1.44,125.193,12/15/1986,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
34,161,a,Cabo San Lucas,Mexico,22.88,-109.908,6/13/1973,8/31/2003,daily hourly,daily hourly,daily hourly,daily hourly,meta
35,177,a,San Felix,Chile,-26.292,-80.108,11/7/1987,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
36,160,a,Guadalupe,Mexico,28.883,-118.3,7/24/1977,12/30/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
37,,a,"Pago Bay, Guam",United States of America (the),13.428,144.797,4/29/2004,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
38,125,a,Nuku'alofa,Tonga,-21.133,-175.167,6/21/1990,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
39,,a,"Kodiak Isl., Alaska",United States of America (the),57.748,-152.483,1/2/1975,10/12/1984,daily hourly,daily hourly,daily hourly,daily hourly,meta
39,,b,"Kodiak Isl., Alaska",United States of America (the),57.748,-152.483,7/12/1984,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
40,302,a,"Adak, Alaska",United States of America (the),51.858,-176.635,3/17/1950,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
41,102,a,"Dutch Harbor, AK",United States of America (the),53.88,-166.537,1/2/1950,6/8/1955,daily hourly,daily hourly,daily hourly,daily hourly,meta
41,102,b,"Dutch Harbor, AK",United States of America (the),53.88,-166.537,1/2/1982,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
43,,a,Palmyra Island,United States of America (the),5.883,-162.088,6/1/1947,11/11/1949,daily hourly,daily hourly,daily hourly,daily hourly,meta
43,,b,Palmyra Island,United States of America (the),5.883,-162.088,11/30/2012,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
45,,a,Jarvis,United States of America (the),-0.383,-160.033,8/20/1957,11/23/1957,daily hourly,daily hourly,daily hourly,daily hourly,meta
46,348,a,Port Vila,Vanuatu,-17.767,168.3,1/1/1977,12/29/1982,daily hourly,daily hourly,daily hourly,daily hourly,meta
46,348,b,Port Vila,Vanuatu,-17.767,168.3,1/15/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
47,103,a,Chichijima,Japan,27.1,142.183,3/31/1975,12/31/2023,daily hourly,daily hourly,daily hourly,daily hourly,meta
48,,a,Anewa Bay,Papua New Guinea,-6.183,155.883,8/5/1968,12/30/1977,daily hourly,daily hourly,daily hourly,daily hourly,meta
49,104,a,Minamitorishima,Japan,24.282,153.978,10/5/1996,3/11/2020,daily hourly,daily hourly,daily hourly,daily hourly,meta
49,104,b,Minamitorishima,Japan,24.282,153.978,3/12/2020,12/31/2023,daily hourly,daily hourly,daily hourly,daily hourly,meta
50,106,a,Midway,United States of America (the),28.217,-177.367,2/9/1947,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
51,105,a,Wake,United States of America (the),19.283,166.617,5/31/1950,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
52,109,a,Johnston,United States of America (the),16.738,-169.53,5/2/1947,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
53,149,a,Guam,United States of America (the),13.433,144.65,3/11/1948,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
54,116,a,Chuuk,Micronesia (Federated States of),7.45,151.85,10/2/1947,12/30/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
55,111,a,Kwajalein,Marshall Islands (the),8.733,167.733,6/8/1946,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
56,144,a,Pago Pago,American Samoa,-14.283,-170.683,9/9/1948,12/31/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
57,108,a,"Honolulu, Hawaii",United States of America (the),21.307,-157.867,1877-06-22,1892-07-12,daily hourly,daily hourly,daily hourly,daily hourly,meta
57,108,b,"Honolulu, Hawaii",United States of America (the),21.307,-157.867,1/2/1905,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
58,,a,Nawiliwili,United States of America (the),21.967,-159.35,12/2/1954,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
59,,a,Kahului,United States of America (the),20.9,-156.467,10/20/1950,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
60,287,a,"Hilo, Hawaii",United States of America (the),19.733,-155.067,1/23/1927,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
61,,a,Mokuoloe,United States of America (the),21.433,-157.8,5/2/1957,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
62,124,a,Norfolk Island,Australia,-29.067,167.933,11/14/1985,12/31/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
62,124,b,Norfolk Island,Australia,-29.067,167.933,2/2/1994,12/31/1999,daily hourly,daily hourly,daily hourly,daily hourly,meta
63,,a,Wewak,Papua New Guinea,-3.57,143.633,8/30/1984,10/29/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
64,,a,Port Moresby,Papua New Guinea,-9.478,147.14,8/11/1984,12/31/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
65,331,a,Manus,Papua New Guinea,-2.013,147.272,9/5/1984,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
66,,a,Madang,Papua New Guinea,-5.2,145.8,8/23/1984,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
67,,a,Lae,Papua New Guinea,-6.733,146.983,9/1/1984,11/30/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
68,,a,Kavieng,Papua New Guinea,-2.585,150.795,9/11/1984,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
69,63,a,Alotau,Papua New Guinea,-10.317,150.453,9/22/1984,2/23/1995,daily hourly,daily hourly,daily hourly,daily hourly,meta
70,127,a,Auckland,New Zealand,-36.85,174.767,5/1/1984,12/30/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
71,101,a,Wellington,New Zealand,-41.283,174.783,11/18/1944,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
72,129,a,Bluff,New Zealand,-46.6,168.35,10/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
73,,a,Tauranga,New Zealand,-37.65,176.183,8/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
74,,a,West Port,New Zealand,-41.733,171.6,8/1/1984,12/30/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
75,,a,Wanganui,New Zealand,-39.947,174.99,9/1/1984,12/26/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
76,,a,Taranaki,New Zealand,-39.05,174.033,12/3/1955,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
77,,a,Nelson,New Zealand,-41.267,173.267,7/1/1984,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
78,,a,Gisborne,New Zealand,-38.683,178.033,10/1/1984,3/24/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
78,,b,Gisborne,New Zealand,-38.683,178.033,1/1/2010,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
79,128,a,Chatham,New Zealand,-43.947,-176.562,1/1/2001,9/30/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
80,174,a,Antofagasta,Chile,-23.65,-70.4,12/7/1945,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
81,175,a,Valparaiso,Chile,-33.033,-71.633,1/3/1944,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,a,Acajutla,El Salvador,13.583,-89.833,7/19/1962,7/31/2001,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,b,Acajutla,El Salvador,13.583,-89.833,8/2/2001,12/21/2009,daily hourly,daily hourly,daily hourly,daily hourly,meta
82,182,c,Acajutla,El Salvador,13.583,-89.833,8/20/2010,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
83,,a,Arica,Chile,-18.467,-70.333,10/3/1982,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
84,,a,Lobos de Afuera,Peru,-6.933,-80.717,7/2/1982,12/31/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
85,170,a,Buenaventura,Colombia,3.9,-77.1,5/12/1953,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
86,,a,La Union,El Salvador,13.333,-87.817,1/2/1954,11/11/1980,daily hourly,daily hourly,daily hourly,daily hourly,meta
86,,b,La Union,El Salvador,13.333,-87.817,1/2/2001,12/31/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
87,167,a,Quepos,Costa Rica,9.4,-84.167,1/2/1961,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
87,167,b,Quepos,Costa Rica,9.4,-84.167,10/9/2009,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
88,,a,Caldera,Chile,-27.067,-70.833,1/2/1980,12/31/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
89,,a,Manta,Ecuador,-0.95,-80.733,1/2/1979,12/31/1981,daily hourly,daily hourly,daily hourly,daily hourly,meta
89,,b,Manta,Ecuador,-0.95,-80.733,1/2/1990,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
90,162,a,Socorro,Mexico,18.733,-111.017,3/2/1957,7/3/1959,daily hourly,daily hourly,daily hourly,daily hourly,meta
91,172,a,La Libertad,Ecuador,-2.2,-80.917,9/2/1949,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
92,,a,Talara,Peru,-4.582,-81.282,1/2/1950,11/30/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
92,,b,Talara,Peru,-4.582,-81.282,1/1/1988,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
93,173,a,Callao,Peru,-12.05,-77.15,1/2/1950,12/31/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
93,173,b,Callao,Peru,-12.05,-77.15,1/2/1970,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,a,Matarani,Peru,-17.002,-72.108,3/23/1954,12/31/1964,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,b,Matarani,Peru,-17.002,-72.108,1/3/1992,10/14/2011,daily hourly,daily hourly,daily hourly,daily hourly,meta
94,,c,Matarani,Peru,-17.002,-72.108,10/16/2011,12/31/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
96,,a,San Juan,Peru,-15.367,-75.2,1/2/1978,7/11/2003,daily hourly,daily hourly,daily hourly,daily hourly,meta
96,,b,San Juan,Peru,-15.367,-75.2,7/13/2003,12/31/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
98,,a,Esmeraldas,Ecuador,0.992,-79.647,1/2/1990,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
100,,a,Port Stanvac,Australia,-35.108,138.467,6/24/1992,11/30/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
101,8,a,Mombasa,Kenya,-4.07,39.657,6/18/1986,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
102,,a,Dar Es Salaam,"Tanzania, United Republic of",-6.82,39.288,7/7/1986,9/29/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,a,Port Louis,Mauritius,-20.155,57.495,1/2/1942,12/30/1947,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,b,Port Louis,Mauritius,-20.155,57.495,3/2/1964,12/30/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
103,18,c,Port Louis,Mauritius,-20.155,57.495,8/1/1986,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,b,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,2/1/1969,6/29/1969,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,c,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,3/2/1988,12/31/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
104,26,d,Diego Garcia,United Kingdom of Great Britain and Northern Ireland (the),-7.29,72.393,8/27/2003,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
105,19,a,Rodrigues,Mauritius,-19.668,63.418,11/9/1986,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
106,,a,Praslin,Seychelles,-4.343,55.767,11/6/1987,6/26/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
107,45,a,Padang,Indonesia,-1,100.367,11/17/1986,9/29/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
107,45,b,Padang,Indonesia,-1,100.367,12/8/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
108,28,a,Male,Maldives,4.183,73.517,3/1/1988,5/30/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
108,28,b,Male,Maldives,4.183,73.517,8/27/1989,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
109,27,a,Gan,Maldives,-0.687,73.152,3/5/1987,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
110,,a,Muscat,Oman,23.628,58.565,4/4/1987,8/11/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
110,,b,Muscat,Oman,23.628,58.565,12/11/2009,12/30/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
111,339,a,Port Victoria,Seychelles,-4.622,55.458,12/16/1977,12/31/1982,daily hourly,daily hourly,daily hourly,daily hourly,meta
111,339,b,Port Victoria,Seychelles,-4.622,55.458,5/29/1986,12/30/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
113,,a,Masirah,Oman,20.687,58.872,12/8/1996,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
114,4,a,Salalah,Oman,16.935,54.007,10/2/1989,5/22/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,a,Colombo,Sri Lanka,6.935,79.858,1/2/1953,12/31/1965,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,b,Colombo,Sri Lanka,6.935,79.858,7/15/1989,8/27/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,c,Colombo,Sri Lanka,6.935,79.858,5/9/2006,10/24/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
115,33,d,Colombo,Sri Lanka,6.935,79.858,1/5/2017,9/4/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
117,,a,Hanimaadhoo,Maldives,6.767,73.173,7/20/1991,8/19/2002,daily hourly,daily hourly,daily hourly,daily hourly,meta
117,,b,Hanimaadhoo,Maldives,6.767,73.173,9/19/2002,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
119,2,a,Djibouti,Djibouti,11.608,43.14,2/21/2007,5/5/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
121,339,a,Pt. La Rue,Seychelles,-4.672,55.528,1/11/1993,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
122,,a,Sibolga,Indonesia,1.75,98.767,4/7/1989,7/1/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
122,,b,Sibolga,Indonesia,1.75,98.767,4/26/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
123,347,a,Sabang,Indonesia,5.888,95.317,12/19/2005,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
124,36,a,Chittagong,Bangladesh,22.247,91.825,7/1/2007,12/6/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
125,,a,Prigi,Indonesia,-8.28,111.73,2/26/2007,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
127,95,a,"Syowa, Antarctica",Antarctica,-69,39.6,2/1/1987,12/30/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
128,308,a,Thevenard,Australia,-32.15,133.64,3/20/1992,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
