UH#,GLOSS#,Version,Location,Country,Latitude,Longitude,Start,End,Data,CSV,NetCDF,OldNetCDF,Meta
129,55,a,"Portland, S.Aus.",Australia,-38.333,141.6,1/1/1991,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
130,278,a,Casey,Australia,-66.283,110.533,1/9/1996,11/15/2008,daily hourly,daily hourly,daily hourly,daily hourly,meta
132,,a,Hillarys,Australia,-31.825,115.738,1/1/1992,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
133,68,a,Ambon,Indonesia,-3.683,128.183,8/13/1992,7/30/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
133,68,b,Ambon,Indonesia,-3.683,128.183,10/2/2008,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
134,,a,Hiron Point,Bangladesh,21.783,89.467,1/17/1977,12/30/2003,daily hourly,daily hourly,daily hourly,daily hourly,meta
135,,a,Khal #10,Bangladesh,22.267,91.817,1/1/1983,12/30/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
136,,a,Cox's Bazaar,Bangladesh,21.45,91.833,1/1/1983,12/30/2006,daily hourly,daily hourly,daily hourly,daily hourly,meta
137,,a,Teknaf,Bangladesh,20.883,92.3,6/19/1983,11/23/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
138,,a,Charchanga,Bangladesh,22.217,91.05,1/1/1980,12/30/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
139,,a,Khepupara,Bangladesh,21.833,89.833,1/1/1987,12/30/2000,daily hourly,daily hourly,daily hourly,daily hourly,meta
140,,a,Kelang,Malaysia,3.05,101.358,12/16/1983,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
141,,a,Keling,Malaysia,2.215,102.153,11/7/1984,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
142,,a,Langkawi,Malaysia,6.432,99.765,11/30/1985,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
143,43,a,Lumut,Malaysia,4.24,100.613,12/13/1984,12/31/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
144,,a,Penang,Malaysia,5.422,100.347,11/16/1984,11/12/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
145,,a,Groote Eylandt,Australia,-13.86,136.417,9/23/1993,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
147,30,a,Karachi,Pakistan,24.8,66.967,1/1/1985,6/29/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
147,30,b,Karachi,Pakistan,24.8,66.967,2/1/2007,12/14/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
148,42,a,Ko Taphao Noi,Thailand,7.832,98.425,1/1/1985,12/30/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
149,,a,Lamu,Kenya,-2.272,40.903,1/1/1989,12/30/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
149,,b,Lamu,Kenya,-2.272,40.903,6/30/1995,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
150,15,a,Nosy Be,Madagascar,-13.4,48.3,1/2/1958,10/4/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
151,297,a,Zanzibar,"Tanzania, United Republic of",-6.155,39.19,3/2/1984,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
155,96,a,Dzaoudzi,France,-12.782,45.258,10/18/1963,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
158,,a,Meneng,Indonesia,-8.117,114.383,6/15/1987,12/9/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
159,,a,Pari,Indonesia,-5.85,106.617,5/31/1987,1/20/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
160,292,a,Surabaya,Indonesia,-7.208,112.725,2/1/1984,11/29/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
161,,a,Jakarta,Indonesia,-6.117,106.85,1/1/1984,9/17/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
162,291,a,Cilicap,Indonesia,-7.752,109.017,4/1/1984,3/30/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
162,291,b,Cilicap,Indonesia,-7.752,109.017,2/21/2007,7/12/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
162,291,c,Cilicap,Indonesia,-7.752,109.017,4/2/2018,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
163,49,a,Benoa,Indonesia,-8.745,115.21,4/30/1988,12/28/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
163,49,b,Benoa,Indonesia,-8.745,115.21,1/25/2006,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
164,17,a,Reunion,France,-20.935,55.285,3/1/1967,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
165,,a,Wyndham,Australia,-15.453,128.102,8/9/1984,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
166,40,a,Broome,Australia,-18,122.217,7/13/1986,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
167,52,a,Carnarvon,Australia,-24.898,113.652,4/8/1984,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
168,62,a,Darwin,Australia,-12.467,130.85,1/1/1984,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
169,51,a,Port Hedland,Australia,-20.318,118.575,1/1/1984,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
170,47,a,Christmas,Australia,-10.417,105.667,9/30/1986,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
171,46,a,Cocos,Australia,-12.117,96.883,12/12/1985,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
172,3,a,Aden,Yemen,12.788,44.975,10/10/2007,12/30/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
173,277,a,Davis,Australia,-68.45,77.967,4/23/1993,1/27/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
175,53,a,Fremantle,Australia,-32.05,115.717,1/1/1984,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
176,54,a,Esperance,Australia,-33.867,121.9,1/1/1985,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
177,22,a,Mawson,Australia,-67.6,62.867,1/6/1992,12/20/2009,daily hourly,daily hourly,daily hourly,daily hourly,meta
178,21,a,Crozet,France,-46.425,51.87,11/19/1995,6/18/1999,daily hourly,daily hourly,daily hourly,daily hourly,meta
178,21,b,Crozet,France,-46.425,51.87,3/13/2000,7/28/2001,daily hourly,daily hourly,daily hourly,daily hourly,meta
179,24,a,Saint Paul,France,-38.712,77.538,10/26/1994,12/23/2006,daily hourly,daily hourly,daily hourly,daily hourly,meta
180,23,a,Kerguelen,France,-49.345,70.22,4/6/1993,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
181,13,a,Durban,South Africa,-29.867,31.05,10/1/1970,12/30/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
182,,a,Mina Sulman,Bahrain,26.233,50.6,1/1/1979,11/4/2007,daily hourly,daily hourly,daily hourly,daily hourly,meta
184,76,a,Port Elizabeth,South Africa,-33.96,25.63,3/2/1973,12/30/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
189,131,a,Dumont d'Urville,Antarctica,-66.662,140.01,1/17/2008,8/18/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
190,,a,Maputo,Mozambique,-26.167,32.7,1/1/1974,12/30/1974,daily hourly,daily hourly,daily hourly,daily hourly,meta
190,,b,Maputo,Mozambique,-26.167,32.7,7/1/1981,12/30/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
191,,a,Antonio Enes,Mozambique,-16.232,39.902,5/12/1967,8/30/1967,daily hourly,daily hourly,daily hourly,daily hourly,meta
192,11,a,Pemba,Mozambique,-12.967,40.488,10/1/1971,1/30/1973,daily hourly,daily hourly,daily hourly,daily hourly,meta
192,11,b,Pemba,Mozambique,-12.967,40.488,12/14/1982,11/29/1984,daily hourly,daily hourly,daily hourly,daily hourly,meta
192,11,c,Pemba,Mozambique,-12.967,40.488,4/20/2007,3/1/2013,daily hourly,daily hourly,daily hourly,daily hourly,meta
193,,a,Nacala,Mozambique,-14.463,40.68,1/15/1975,3/20/1975,daily hourly,daily hourly,daily hourly,daily hourly,meta
193,,b,Nacala,Mozambique,-14.463,40.68,10/4/1982,12/31/1982,daily hourly,daily hourly,daily hourly,daily hourly,meta
201,199,a,Peter & Paul Rocks,Brazil,0.92,-29.343,11/6/1982,11/21/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
202,197,a,Natal,Brazil,-5.752,-35.195,10/29/1982,3/28/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
202,197,b,Natal,Brazil,-5.752,-35.195,6/24/1983,1/29/1984,daily hourly,daily hourly,daily hourly,daily hourly,meta
202,197,c,Natal,Brazil,-5.752,-35.195,2/1/1984,11/4/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
203,198,a,Fer. de Noronha,Brazil,-3.828,-32.403,11/8/1982,6/27/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
203,198,b,Fer. de Noronha,Brazil,-3.828,-32.403,4/18/1984,11/12/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
203,198,c,Fer. de Noronha,Brazil,-3.828,-32.403,11/14/1985,12/31/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
204,265,a,Trindade,Brazil,-20.503,-29.31,6/14/1983,8/8/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
205,,a,Arrecife,Spain,28.95,-13.567,4/1/1959,1/26/1973,daily hourly,daily hourly,daily hourly,daily hourly,meta
205,,b,Arrecife,Spain,28.95,-13.567,1/28/1973,7/29/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
205,,d,Arrecife,Spain,28.95,-13.567,1/1/1987,12/31/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
206,,a,S.Cruz d. Palma,Spain,28.683,-17.75,5/1/1949,3/1/1959,daily hourly,daily hourly,daily hourly,daily hourly,meta
206,,b,S.Cruz d. Palma,Spain,28.683,-17.75,3/3/1959,10/20/1981,daily hourly,daily hourly,daily hourly,daily hourly,meta
206,,d,S.Cruz d. Palma,Spain,28.683,-17.75,2/22/1989,12/31/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
207,249,a,Ceuta,Spain,35.9,-5.317,3/1/1944,12/31/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
208,,a,Vigo,Spain,42.233,-8.733,3/9/1943,12/30/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
209,246,a,Cascais,Portugal,38.692,-9.417,1/1/1959,12/31/2005,daily hourly,daily hourly,daily hourly,daily hourly,meta
210,244,a,"Flores, Santa Cruz",Portugal,39.453,-31.12,7/9/1976,11/23/2009,daily hourly,daily hourly,daily hourly,daily hourly,meta
211,245,a,Ponta Delgada,Portugal,37.735,-25.672,5/19/1978,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
212,,a,"Horta, Azores",Portugal,38.533,-28.622,1/1/1984,6/30/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
213,244,a,"Flores, Lajes",Portugal,39.378,-31.168,1/1/2006,12/30/2013,daily hourly,daily hourly,daily hourly,daily hourly,meta
214,,a,"Lameshur Bay, VI",United States of America (the),18.317,-64.723,8/4/2006,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
215,,a,Angra Heroismo,Portugal,38.65,-27.24,7/5/1957,8/27/1962,daily hourly,daily hourly,daily hourly,daily hourly,meta
215,,b,Angra Heroismo,Portugal,38.65,-27.24,8/1/1976,12/31/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
216,,a,Porto Grande,Portugal,16.867,-24.983,7/10/1990,12/30/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
217,251,a,Las Palmas,Spain,28.1,-15.4,4/17/1949,10/15/1956,daily hourly,daily hourly,daily hourly,daily hourly,meta
217,251,b,Las Palmas,Spain,28.1,-15.4,1/1/1971,12/31/1982,daily hourly,daily hourly,daily hourly,daily hourly,meta
217,251,c,Las Palmas,Spain,28.1,-15.4,6/24/1983,12/30/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
217,251,d,Las Palmas,Spain,28.1,-15.4,5/7/1991,12/31/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
218,250,b,Funchal,Portugal,32.64,-16.907,10/6/1976,12/30/2013,daily hourly,daily hourly,daily hourly,daily hourly,meta
219,,a,"Culebra, PR",United States of America (the),18.3,-65.302,8/20/2005,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
220,314,a,Walvis Bay,Namibia,-22.95,14.5,1/1/1959,12/3/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
221,268,a,Simon's Town,South Africa,-34.183,18.433,4/24/1959,12/30/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
222,,a,"Praia, Cape Verde",Cabo Verde,14.917,-23.5,3/3/1984,10/10/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
222,,c,"Praia, Cape Verde",Cabo Verde,14.917,-23.5,1/1/1995,1/31/1996,daily hourly,daily hourly,daily hourly,daily hourly,meta
223,253,a,Dakar,Senegal,14.677,-17.42,12/25/1982,12/11/1983,daily hourly,daily hourly,daily hourly,daily hourly,meta
223,253,b,Dakar,Senegal,14.677,-17.42,12/12/1983,1/8/1985,daily hourly,daily hourly,daily hourly,daily hourly,meta
223,253,c,Dakar,Senegal,14.677,-17.42,5/31/1986,12/15/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
223,253,d,Dakar,Senegal,14.677,-17.42,12/17/1986,5/23/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
223,253,e,Dakar,Senegal,14.677,-17.42,3/16/1992,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
225,260,a,Sao Tome,Sao Tome and Principe,0.017,6.513,12/5/1985,11/29/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
227,202,a,Cayenne,France,4.85,-52.283,1/2/2006,12/31/2007,daily hourly,daily hourly,daily hourly,daily hourly,meta
228,,a,Tenerife,Spain,28.478,-16.24,7/2/1992,7/17/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
229,,a,"Belem, USCGS",Brazil,-1.45,-48.5,1/2/1955,12/31/1968,daily hourly,daily hourly,daily hourly,daily hourly,meta
230,257,a,Abidjanridi,Cote d'Ivoire,5.242,-4,1/1/1982,12/31/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
231,335,a,Takoradi,Ghana,4.885,-1.745,1/1/1983,12/31/1986,daily hourly,daily hourly,daily hourly,daily hourly,meta
231,335,b,Takoradi,Ghana,4.885,-1.745,7/2/2004,3/31/2005,daily hourly,daily hourly,daily hourly,daily hourly,meta
231,335,c,Takoradi,Ghana,4.885,-1.745,1/5/2007,9/7/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
233,259,a,Lagos,Nigeria,6.417,3.45,5/25/1961,9/26/1969,daily hourly,daily hourly,daily hourly,daily hourly,meta
233,259,c,Lagos,Nigeria,6.417,3.45,8/3/1992,10/5/1996,daily hourly,daily hourly,daily hourly,daily hourly,meta
234,261,a,Pointe Noire,Congo (the),-4.8,11.85,1/1/1980,9/29/1988,daily hourly,daily hourly,daily hourly,daily hourly,meta
234,261,b,Pointe Noire,Congo (the),-4.8,11.85,9/11/2008,2/8/2015,daily hourly,daily hourly,daily hourly,daily hourly,meta
235,329,a,Palmeira,Cabo Verde,16.755,-22.983,3/13/2000,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
236,,a,Luanda,Angola,-8.787,13.237,1/1/1972,6/29/1975,daily hourly,daily hourly,daily hourly,daily hourly,meta
237,262,a,Lobito,Angola,-12.333,13.558,6/1/1971,12/30/1975,daily hourly,daily hourly,daily hourly,daily hourly,meta
238,,a,Mocamedes,Angola,-15.192,12.145,7/1/1971,5/12/1975,daily hourly,daily hourly,daily hourly,daily hourly,meta
239,215,a,Siboney,Cuba,23.092,-82.472,1/2/1990,12/31/1990,daily hourly,daily hourly,daily hourly,daily hourly,meta
240,,a,Fernandina Beach,United States of America (the),30.672,-81.467,1897-05-09,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
241,218,a,Miami,United States of America (the),25.903,-80.12,1/2/1985,9/21/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
242,216,a,"Key West, FL",United States of America (the),24.553,-81.808,1/20/1913,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
243,,a,"Penuelas, PR",Puerto Rico,17.972,-66.762,4/1/2001,2/9/2005,daily hourly,daily hourly,daily hourly,daily hourly,meta
244,276,a,Gibara,Cuba,21.117,-76.117,1/2/1985,12/31/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
245,206,a,"San Juan, PR",United States of America (the),18.46,-66.117,11/30/1977,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
246,,a,"Magueyes Island, PR",United States of America (the),17.972,-67.047,12/5/1954,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
247,328,a,La Guaira,Venezuela (Bolivarian Republic of),10.617,-66.933,1/2/1985,12/31/1994,daily hourly,daily hourly,daily hourly,daily hourly,meta
248,203,a,Portf-Spain,Trinidad and Tobago,10.65,-61.517,1/2/1984,12/6/1992,daily hourly,daily hourly,daily hourly,daily hourly,meta
249,,a,Bridgetown,Barbados,13.1,-59.617,10/30/1968,1/31/1970,daily hourly,daily hourly,daily hourly,daily hourly,meta
249,,b,Bridgetown,Barbados,13.1,-59.617,5/2/1990,8/29/1991,daily hourly,daily hourly,daily hourly,daily hourly,meta
249,,c,Bridgetown,Barbados,13.1,-59.617,1/21/1993,2/22/1996,daily hourly,daily hourly,daily hourly,daily hourly,meta
249,,d,Bridgetown,Barbados,13.1,-59.617,2/21/2008,12/31/2010,daily hourly,daily hourly,daily hourly,daily hourly,meta
250,212,a,"Veracruz, Ver.",Mexico,19.2,-96.133,2/2/1985,12/31/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
250,212,b,"Veracruz, Ver.",Mexico,19.2,-96.133,7/6/1999,12/13/2004,daily hourly,daily hourly,daily hourly,daily hourly,meta
251,,a,Guantanamo Bay,Cuba,19.907,-75.147,6/2/1937,12/30/1948,daily hourly,daily hourly,daily hourly,daily hourly,meta
251,,b,Guantanamo Bay,Cuba,19.907,-75.147,6/21/1995,1/31/1997,daily hourly,daily hourly,daily hourly,daily hourly,meta
252,,a,"Portland, ME",United States of America (the),43.657,-70.247,3/5/1910,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
253,290,a,"Newport, RI",United States of America (the),41.505,-71.327,9/11/1930,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
254,,a,Limetree Bay,United States of America (the),17.697,-64.753,2/3/1982,12/31/2023,daily hourly,daily hourly,daily hourly,daily hourly,meta
255,,a,Charlotte Amalie,United States of America (the),18.335,-64.92,10/1/1978,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
256,12,a,Exuma Cays,Bahamas (the),23.773,-76.105,3/24/1992,4/22/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
257,211,a,Settlement Point,Bahamas (the),26.69,-78.983,10/20/1985,5/31/2002,daily hourly,daily hourly,daily hourly,daily hourly,meta
257,211,b,Settlement Point,Bahamas (the),26.69,-78.983,6/5/2002,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
258,,a,"Christiansted, VI",United States of America (the),17.75,-64.705,2/25/2006,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
259,221,a,Bermuda,United Kingdom of Great Britain and Northern Ireland (the),32.373,-64.703,10/3/1932,12/31/1949,daily hourly,daily hourly,daily hourly,daily hourly,meta
259,221,b,Bermuda,United Kingdom of Great Britain and Northern Ireland (the),32.373,-64.703,1/2/1985,11/22/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
260,219,a,"Duck Pier, NC",United States of America (the),36.183,-75.74,6/2/1978,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
261,,a,"Charleston, SC",United States of America (the),32.782,-79.925,1/2/1901,12/31/1903,daily hourly,daily hourly,daily hourly,daily hourly,meta
261,,b,"Charleston, SC",United States of America (the),32.782,-79.925,10/2/1921,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
262,,a,"St. Augustine, FL",United States of America (the),29.857,-81.262,8/2/1978,7/14/2002,daily hourly,daily hourly,daily hourly,daily hourly,meta
263,,a,"Aguadilla, PR",United States of America (the),18.457,-67.163,6/21/2006,10/29/2012,daily hourly,daily hourly,daily hourly,daily hourly,meta
264,220,a,Atlantic City,United States of America (the),39.355,-74.418,8/20/1911,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
265,207,a,Cartagena,Colombia,10.383,-75.533,11/3/1951,4/25/1993,daily hourly,daily hourly,daily hourly,daily hourly,meta
265,207,b,Cartagena,Colombia,10.383,-75.533,5/2/1993,7/29/2019,daily hourly,daily hourly,daily hourly,daily hourly,meta
266,208,a,Cristobal,Panama,9.355,-79.915,4/4/1907,12/31/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
267,,a,"Mona Is., PR",United States of America (the),18.09,-67.938,9/19/2006,12/31/2022,daily hourly,daily hourly,daily hourly,daily hourly,meta
268,,a,Limon,Costa Rica,10,-83.033,1/2/1970,2/28/1981,daily hourly,daily hourly,daily hourly,daily hourly,meta
268,,b,Limon,Costa Rica,10,-83.033,10/16/2009,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
269,,a,Cochino Pequeno,Honduras,15.953,-86.5,5/1/1995,6/30/1996,daily hourly,daily hourly,daily hourly,daily hourly,meta
270,,a,Le Robert,France,14.683,-60.933,12/14/1976,12/30/1984,daily hourly,daily hourly,daily hourly,daily hourly,meta
271,,a,Fort de France,France,14.583,-61.05,10/31/1976,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
272,,a,Pointe-Pitre,France,16.225,-61.532,1/5/1983,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
274,,a,Churchill,Canada,58.783,-94.2,11/2/1961,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
275,222,a,Halifax,Canada,44.667,-63.583,1895-10-16,8/12/2014,daily hourly,daily hourly,daily hourly,daily hourly,meta
276,223,a,St. John's,Canada,47.567,-52.7,8/3/1935,9/2/1989,daily hourly,daily hourly,daily hourly,daily hourly,meta
276,223,b,St. John's,Canada,47.567,-52.7,9/3/1989,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
277,,a,"Madero, Tampico",Mexico,22.262,-97.795,3/24/2004,11/18/2007,daily hourly,daily hourly,daily hourly,daily hourly,meta
279,,a,"Montauk, NY",United States of America (the),41.048,-71.96,9/8/1947,12/31/2021,daily hourly,daily hourly,daily hourly,daily hourly,meta
280,195,a,"Ilha Fiscal, RJ",Brazil,-22.897,-43.165,2/3/1963,12/31/2013,daily hourly,daily hourly,daily hourly,daily hourly,meta
281,194,a,Cananeia,Brazil,-25.017,-47.925,2/27/1954,12/31/2006,daily hourly,daily hourly,daily hourly,daily hourly,meta
281,194,b,Cananeia,Brazil,-25.017,-47.925,1/30/2014,10/28/2016,daily hourly,daily hourly,daily hourly,daily hourly,meta
282,,a,Ubatuba,Brazil,-23.5,-45.117,6/4/2013,7/10/2017,daily hourly,daily hourly,daily hourly,daily hourly,meta
283,336,a,Fortaleza,Brazil,-3.717,-38.467,1/2/1955,12/31/1968,daily hourly,daily hourly,daily hourly,daily hourly,meta
283,336,b,Fortaleza,Brazil,-3.717,-38.467,11/24/1995,3/28/1998,daily hourly,daily hourly,daily hourly,daily hourly,meta
283,336,c,Fortaleza,Brazil,-3.717,-38.467,4/15/2008,12/31/2018,daily hourly,daily hourly,daily hourly,daily hourly,meta
284,,a,Termisa,Brazil,-4.817,-37.05,7/1/1993,4/30/1995,daily hourly,daily hourly,daily hourly,daily hourly,meta
